Date; Test; AG1C+; AG1; AG1N; AG2C-; AG2C+; AG2; AG2N; AG3C-; AG3C+; AG3; AG3N; AG4C-; AG4C+; AG4; AG4N
2020-10-13;3.73720510910192;4.03698843928517;3.88709677419355;186;4.05826680010827;4.26680207041514;4.16253443526171;363;4.34957919905817;4.55042080094183;4.45;280;4.49799700993829;4.72985109132753;4.61392405063291;158
2020-10-27;3.82648446822936;4.09469779778049;3.96059113300493;203;4.16176676472087;4.35654309443406;4.25915492957746;355;4.43027262975855;4.62676159077377;4.52851711026616;263;4.61168584395904;4.77654945015861;4.69411764705882;170
2020-11-03;4.01750128463699;4.27879501165931;4.14814814814815;189;4.20809547707769;4.39943140464274;4.30376344086022;372;4.3880220507185;4.58256618457562;4.48529411764706;272;4.50782866252972;4.75331783428557;4.63057324840764;157
2020-11-10;3.91352000459466;4.20226946908955;4.05789473684211;190;4.25135702051637;4.44033198752653;4.34584450402145;373;4.49886842877939;4.6776021594559;4.58823529411765;272;4.61220092693899;4.83607493512998;4.72413793103448;145
2020-11-17;4.0919561572454;4.34681935295868;4.21938775510204;196;4.27313644982986;4.45317933964382;4.36315789473684;380;4.51593727905429;4.67786117055812;4.5968992248062;258;4.67402869413966;4.85353036097846;4.76377952755906;127
2020-12-01;3.83632745642029;4.16367254357971;4;188;4.20659739659695;4.40798593673638;4.30729166666667;384;4.488115471224;4.65786993023586;4.57299270072993;274;4.65183111761037;4.83116207966854;4.74149659863946;147
2020-12-15;3.98373807242261;4.27941982231423;4.13157894736842;190;4.19455494490644;4.39368034921121;4.29411764705882;374;4.36653578680657;4.57026718717112;4.46840148698885;269;4.52032179040559;4.75365081233414;4.63698630136986;146
2020-12-22;3.9131021648515;4.21455740961658;4.06382978723404;188;4.11879326612178;4.32382968469789;4.22131147540984;366;4.49989998148979;4.66068396011605;4.58029197080292;274;4.51475281089945;4.81234999283886;4.66355140186916;107
2020-12-29;4.19172499424682;4.46749288284815;4.32960893854749;179;4.39245597733563;4.55518800172196;4.4738219895288;382;4.50955825441393;4.69328872067504;4.60142348754448;281;4.644311159649;4.81945695629303;4.73188405797101;138
2021-01-12;4.26463356527693;4.52744564264386;4.3960396039604;202;4.38442983079003;4.55611070975051;4.47027027027027;370;4.52704063747406;4.70372859329517;4.61538461538461;260;4.70529887433255;4.87216591439984;4.7887323943662;142
2021-01-26;4.00448519329957;4.31297512416074;4.15873015873016;189;4.35809090187426;4.53596594567095;4.44702842377261;387;4.55582230210464;4.73042305105521;4.64312267657993;269;4.72294237222969;4.89187244258512;4.80740740740741;135
2021-02-09;4.20920547049123;4.48467208052918;4.3469387755102;196;4.36748156422348;4.54786235112043;4.45767195767196;378;4.55038450316087;4.7257348998242;4.63805970149254;268;4.66254023499239;4.85061765974445;4.75657894736842;152
2021-02-23;4.14551990813419;4.41830987909985;4.28191489361702;188;4.32809372170935;4.50659462517412;4.41734417344173;369;4.55234655318148;4.7111913529557;4.63176895306859;277;4.63814407810044;4.82494317022171;4.73154362416107;149
2021-03-09;3.94321680635942;4.25891085321505;4.10106382978723;188;4.28551587237899;4.47612796323745;4.38082191780822;365;4.44176495976763;4.63176445199708;4.53676470588235;272;4.6630965762266;4.844149800585;4.7536231884058;138
2021-03-23;4.03190874729793;4.33846162307244;4.18518518518519;189;4.29912721399117;4.48278767962585;4.39095744680851;376;4.37766533884776;4.60751984633743;4.49259259259259;270;4.5349054325744;4.75921221448442;4.64705882352941;153
2021-04-06;3.97095064593589;4.2763611820211;4.12365591397849;186;4.19604509785439;4.40224550043621;4.2991452991453;351;4.43295849387328;4.62364527971162;4.52830188679245;265;4.55674665006411;4.79140149808404;4.67407407407407;135
2021-04-20;4.03296897893076;4.28788663604251;4.16042780748663;187;4.28254865187582;4.47935611002895;4.38095238095238;357;4.44163084567189;4.645821625811;4.54372623574144;263;4.53209251159116;4.76992091122763;4.6510067114094;149
2021-05-04;4.05743086635885;4.34468553575756;4.2010582010582;189;4.23417745090209;4.43420301182285;4.33419023136247;389;4.43594902455406;4.62375246798325;4.52985074626866;268;4.49037556963762;4.73661829539306;4.61349693251534;163
2021-05-18;3.88215376766501;4.18306362363934;4.03260869565217;184;4.15180146565294;4.3617937005102;4.25679758308157;331;4.33415923816198;4.54706681547787;4.44061302681992;261;4.44225639332912;4.71329916222643;4.57777777777778;135
2021-06-01;3.74394173471333;4.06855826528667;3.90625;192;4.07553544086612;4.29835179948997;4.18694362017804;337;4.35022694515931;4.57641398148162;4.46332046332046;259;4.32634647932071;4.60871845574422;4.46753246753247;154
2021-06-15;3.66563186242505;3.97457977778659;3.82010582010582;189;3.97245336722023;4.184614695607;4.07853403141361;382;4.27375548561071;4.50527073161776;4.38951310861423;267;4.34282294417781;4.63015002879517;4.48648648648649;148
2021-06-29;3.59829825590406;3.93933615269809;3.76881720430108;186;3.91408994619022;4.12892080649795;4.02150537634409;372;4.29620986804953;4.50232493048527;4.3992673992674;273;4.39677902633344;4.6508400212856;4.52380952380952;147
2021-07-14;3.4695146961814;3.83281088521395;3.65116279069767;172;3.92570375972857;4.15475601038637;4.04022988505747;348;4.14942566940722;4.38753931113752;4.26848249027237;257;4.20269212543657;4.52970224076061;4.36619718309859;142
2021-07-27;3.41777534331702;3.78222465668298;3.6;170;3.84427933764426;4.06357974094653;3.95392953929539;369;4.22452663824526;4.44728803356941;4.33590733590734;259;4.32709259588439;4.60044363599967;4.46376811594203;138
2021-08-10;3.42761325646709;3.7532378073627;3.59042553191489;188;3.83472104399665;4.07171170454136;3.95321637426901;342;4.03569025019038;4.30186249242565;4.16877637130802;237;4.11422736810036;4.43982668595369;4.27702702702703;148
2021-08-24;3.66383404675501;3.98922717773478;3.8265306122449;196;3.84492257826429;4.08100334766164;3.96296296296296;351;4.24188953302897;4.46727381358457;4.35458167330677;251;4.20801503970165;4.52727907794541;4.36764705882353;136
2021-09-07;3.2373874590694;3.60169300070071;3.41954022988506;174;3.73091655522668;3.98336915905903;3.85714285714286;329;3.99195858140539;4.24650295705615;4.11923076923077;260;4.06844808365059;4.42450966282829;4.24647887323944;142
2021-09-21;3.35159042737376;3.69285401707068;3.52222222222222;180;3.54216676222194;3.79116657111139;3.66666666666667;357;4.06950014805794;4.30742292886514;4.18846153846154;260;4.09705391407535;4.44840063137919;4.27272727272727;143
2021-10-05;3.14710931862437;3.53066845915341;3.33888888888889;180;3.58226284794312;3.83464677304814;3.70845481049563;343;3.91337044262328;4.18621461961738;4.04979253112033;241;4.12560391129475;4.45370643353284;4.28965517241379;145
